Context,Question,Answer_Text,Answer_Start_Index,Title
"Twin’s Peak is a large city located at the peak between two mountains, Hati and Skoll. Twin’s Peak is home to many humans and dwarves, two races that were once in conflict with each other but are now peaceful. At the center of the city is the city hall, a large structure supported by thousands of wooden beams and is suspended at the center between the two peaks. In the town hall, merchants come from River’s Wake in the east, Cragsigil in the north, and Fjorn to the south west. Adventurers go to the Adventurer’s Guild, located east of the city hall. At the Adventurer’s Guild, adventurers can find jobs and change classes. Next to the adventuring guild is the Drunken Dragon, a tavern, where adventurers go at the end of the day to share stories of their grand adventures and secrets of treasure. Every 30 days, Twin’s Peak holds a big party in celebration of the full moon as it passes through the center between the two peaks. This party is called Hati’s Dance, since Hati is the legendary wolf who chases the moon. Singers from River’s Wake come to sing beautiful melodies of Hati, while dancers and performers from Cragsigil come to perform rituals in hope for another good lunar cycle. There are only two entrances into Twin’s Peak, which are to the east and west of the city hall.",Where is the city hall?,At the center of the city,210,Custom
"Twin’s Peak is a large city located at the peak between two mountains, Hati and Skoll. Twin’s Peak is home to many humans and dwarves, two races that were once in conflict with each other but are now peaceful. At the center of the city is the city hall, a large structure supported by thousands of wooden beams and is suspended at the center between the two peaks. In the town hall, merchants come from River’s Wake in the east, Cragsigil in the north, and Fjorn to the south west. Adventurers go to the Adventurer’s Guild, located east of the city hall. At the Adventurer’s Guild, adventurers can find jobs and change classes. Next to the adventuring guild is the Drunken Dragon, a tavern, where adventurers go at the end of the day to share stories of their grand adventures and secrets of treasure. Every 30 days, Twin’s Peak holds a big party in celebration of the full moon as it passes through the center between the two peaks. This party is called Hati’s Dance, since Hati is the legendary wolf who chases the moon. Singers from River’s Wake come to sing beautiful melodies of Hati, while dancers and performers from Cragsigil come to perform rituals in hope for another good lunar cycle. There are only two entrances into Twin’s Peak, which are to the east and west of the city hall.",Where do merchants in Twin's Peak come from?,"River’s Wake in the east, Cragsigil in the north, and Fjorn to the south west",403,Custom
"Twin’s Peak is a large city located at the peak between two mountains, Hati and Skoll. Twin’s Peak is home to many humans and dwarves, two races that were once in conflict with each other but are now peaceful. At the center of the city is the city hall, a large structure supported by thousands of wooden beams and is suspended at the center between the two peaks. In the town hall, merchants come from River’s Wake in the east, Cragsigil in the north, and Fjorn to the south west. Adventurers go to the Adventurer’s Guild, located east of the city hall. At the Adventurer’s Guild, adventurers can find jobs and change classes. Next to the adventuring guild is the Drunken Dragon, a tavern, where adventurers go at the end of the day to share stories of their grand adventures and secrets of treasure. Every 30 days, Twin’s Peak holds a big party in celebration of the full moon as it passes through the center between the two peaks. This party is called Hati’s Dance, since Hati is the legendary wolf who chases the moon. Singers from River’s Wake come to sing beautiful melodies of Hati, while dancers and performers from Cragsigil come to perform rituals in hope for another good lunar cycle. There are only two entrances into Twin’s Peak, which are to the east and west of the city hall.",Where is River's Wake located?,east,423,Custom
"Twin’s Peak is a large city located at the peak between two mountains, Hati and Skoll. Twin’s Peak is home to many humans and dwarves, two races that were once in conflict with each other but are now peaceful. At the center of the city is the city hall, a large structure supported by thousands of wooden beams and is suspended at the center between the two peaks. In the town hall, merchants come from River’s Wake in the east, Cragsigil in the north, and Fjorn to the south west. Adventurers go to the Adventurer’s Guild, located east of the city hall. At the Adventurer’s Guild, adventurers can find jobs and change classes. Next to the adventuring guild is the Drunken Dragon, a tavern, where adventurers go at the end of the day to share stories of their grand adventures and secrets of treasure. Every 30 days, Twin’s Peak holds a big party in celebration of the full moon as it passes through the center between the two peaks. This party is called Hati’s Dance, since Hati is the legendary wolf who chases the moon. Singers from River’s Wake come to sing beautiful melodies of Hati, while dancers and performers from Cragsigil come to perform rituals in hope for another good lunar cycle. There are only two entrances into Twin’s Peak, which are to the east and west of the city hall.",Where is Cragsigil located?,north,446,Custom
"Twin’s Peak is a large city located at the peak between two mountains, Hati and Skoll. Twin’s Peak is home to many humans and dwarves, two races that were once in conflict with each other but are now peaceful. At the center of the city is the city hall, a large structure supported by thousands of wooden beams and is suspended at the center between the two peaks. In the town hall, merchants come from River’s Wake in the east, Cragsigil in the north, and Fjorn to the south west. Adventurers go to the Adventurer’s Guild, located east of the city hall. At the Adventurer’s Guild, adventurers can find jobs and change classes. Next to the adventuring guild is the Drunken Dragon, a tavern, where adventurers go at the end of the day to share stories of their grand adventures and secrets of treasure. Every 30 days, Twin’s Peak holds a big party in celebration of the full moon as it passes through the center between the two peaks. This party is called Hati’s Dance, since Hati is the legendary wolf who chases the moon. Singers from River’s Wake come to sing beautiful melodies of Hati, while dancers and performers from Cragsigil come to perform rituals in hope for another good lunar cycle. There are only two entrances into Twin’s Peak, which are to the east and west of the city hall.",Where is Fjorn located?,south west,470,Custom
"Northwick is a small village in the valley that borders the forbidden region, a desolate land ruled by a forsaken king, King Ivan. The village is protected by high stone walls of a forgotten fortress, reinforced by the villagers. Lorn’s farm is south of Northwick down by the main road, bordering the Giant Woods. Lorn’s farm grows a variety of wheat, corn, and pumpkins. Lorn’s farm provides a majority of the food for Northwick village, making his farm one of the more important farms in the region. Lorn requests that you negotiate with the small family living on the far side of his property. He asks this of you because he plans to expand his farm to include livestock. The dangerous part of this mission is the Jackal Rangers, a vigilante group that fights for the poor by committing heinous acts against all other social parties. The guild’s woman recommends that when negotiating with the poor family, provide alternative living accommodations sanctioned by the guild. Failure to complete this mission will result in a loss of 50 gold coins, due to the lost trust with Lorn. Success in completing this mission will result in a 200 gold bonus with an application for upgrading to a higher adventuring tier.",What is Northwick?,a small village in the valley that borders the forbidden region,13,Custom
"Northwick is a small village in the valley that borders the forbidden region, a desolate land ruled by a forsaken king, King Ivan. The village is protected by high stone walls of a forgotten fortress, reinforced by the villagers. Lorn’s farm is south of Northwick down by the main road, bordering the Giant Woods. Lorn’s farm grows a variety of wheat, corn, and pumpkins. Lorn’s farm provides a majority of the food for Northwick village, making his farm one of the more important farms in the region. Lorn requests that you negotiate with the small family living on the far side of his property. He asks this of you because he plans to expand his farm to include livestock. The dangerous part of this mission is the Jackal Rangers, a vigilante group that fights for the poor by committing heinous acts against all other social parties. The guild’s woman recommends that when negotiating with the poor family, provide alternative living accommodations sanctioned by the guild. Failure to complete this mission will result in a loss of 50 gold coins, due to the lost trust with Lorn. Success in completing this mission will result in a 200 gold bonus with an application for upgrading to a higher adventuring tier.",What is the forbidden region?,a desolate land,78,Custom
"Northwick is a small village in the valley that borders the forbidden region, a desolate land ruled by a forsaken king, King Ivan. The village is protected by high stone walls of a forgotten fortress, reinforced by the villagers. Lorn’s farm is south of Northwick down by the main road, bordering the Giant Woods. Lorn’s farm grows a variety of wheat, corn, and pumpkins. Lorn’s farm provides a majority of the food for Northwick village, making his farm one of the more important farms in the region. Lorn requests that you negotiate with the small family living on the far side of his property. He asks this of you because he plans to expand his farm to include livestock. The dangerous part of this mission is the Jackal Rangers, a vigilante group that fights for the poor by committing heinous acts against all other social parties. The guild’s woman recommends that when negotiating with the poor family, provide alternative living accommodations sanctioned by the guild. Failure to complete this mission will result in a loss of 50 gold coins, due to the lost trust with Lorn. Success in completing this mission will result in a 200 gold bonus with an application for upgrading to a higher adventuring tier.",Who rules the desolate land?,King Ivan,120,Custom
"Northwick is a small village in the valley that borders the forbidden region, a desolate land ruled by a forsaken king, King Ivan. The village is protected by high stone walls of a forgotten fortress, reinforced by the villagers. Lorn’s farm is south of Northwick down by the main road, bordering the Giant Woods. Lorn’s farm grows a variety of wheat, corn, and pumpkins. Lorn’s farm provides a majority of the food for Northwick village, making his farm one of the more important farms in the region. Lorn requests that you negotiate with the small family living on the far side of his property. He asks this of you because he plans to expand his farm to include livestock. The dangerous part of this mission is the Jackal Rangers, a vigilante group that fights for the poor by committing heinous acts against all other social parties. The guild’s woman recommends that when negotiating with the poor family, provide alternative living accommodations sanctioned by the guild. Failure to complete this mission will result in a loss of 50 gold coins, due to the lost trust with Lorn. Success in completing this mission will result in a 200 gold bonus with an application for upgrading to a higher adventuring tier.",Where is Lorn's farm?,"south of Northwick down by the main road, bordering the Giant Woods",245,Custom
"Northwick is a small village in the valley that borders the forbidden region, a desolate land ruled by a forsaken king, King Ivan. The village is protected by high stone walls of a forgotten fortress, reinforced by the villagers. Lorn’s farm is south of Northwick down by the main road, bordering the Giant Woods. Lorn’s farm grows a variety of wheat, corn, and pumpkins. Lorn’s farm provides a majority of the food for Northwick village, making his farm one of the more important farms in the region. Lorn requests that you negotiate with the small family living on the far side of his property. He asks this of you because he plans to expand his farm to include livestock. The dangerous part of this mission is the Jackal Rangers, a vigilante group that fights for the poor by committing heinous acts against all other social parties. The guild’s woman recommends that when negotiating with the poor family, provide alternative living accommodations sanctioned by the guild. Failure to complete this mission will result in a loss of 50 gold coins, due to the lost trust with Lorn. Success in completing this mission will result in a 200 gold bonus with an application for upgrading to a higher adventuring tier.",What does Lorn grow in his farm?,"variety of wheat, corn, and pumpkins",334,Custom
"Northwick is a small village in the valley that borders the forbidden region, a desolate land ruled by a forsaken king, King Ivan. The village is protected by high stone walls of a forgotten fortress, reinforced by the villagers. Lorn’s farm is south of Northwick down by the main road, bordering the Giant Woods. Lorn’s farm grows a variety of wheat, corn, and pumpkins. Lorn’s farm provides a majority of the food for Northwick village, making his farm one of the more important farms in the region. Lorn requests that you negotiate with the small family living on the far side of his property. He asks this of you because he plans to expand his farm to include livestock. The dangerous part of this mission is the Jackal Rangers, a vigilante group that fights for the poor by committing heinous acts against all other social parties. The guild’s woman recommends that when negotiating with the poor family, provide alternative living accommodations sanctioned by the guild. Failure to complete this mission will result in a loss of 50 gold coins, due to the lost trust with Lorn. Success in completing this mission will result in a 200 gold bonus with an application for upgrading to a higher adventuring tier.",Why is Lorn's farm important?,Lorn’s farm provides a majority of the food for Northwick village,372,Custom
"Northwick is a small village in the valley that borders the forbidden region, a desolate land ruled by a forsaken king, King Ivan. The village is protected by high stone walls of a forgotten fortress, reinforced by the villagers. Lorn’s farm is south of Northwick down by the main road, bordering the Giant Woods. Lorn’s farm grows a variety of wheat, corn, and pumpkins. Lorn’s farm provides a majority of the food for Northwick village, making his farm one of the more important farms in the region. Lorn requests that you negotiate with the small family living on the far side of his property. He asks this of you because he plans to expand his farm to include livestock. The dangerous part of this mission is the Jackal Rangers, a vigilante group that fights for the poor by committing heinous acts against all other social parties. The guild’s woman recommends that when negotiating with the poor family, provide alternative living accommodations sanctioned by the guild. Failure to complete this mission will result in a loss of 50 gold coins, due to the lost trust with Lorn. Success in completing this mission will result in a 200 gold bonus with an application for upgrading to a higher adventuring tier.",What does Lorn request?,you negotiate with the small family living on the far side of his property,521,Custom
"Northwick is a small village in the valley that borders the forbidden region, a desolate land ruled by a forsaken king, King Ivan. The village is protected by high stone walls of a forgotten fortress, reinforced by the villagers. Lorn’s farm is south of Northwick down by the main road, bordering the Giant Woods. Lorn’s farm grows a variety of wheat, corn, and pumpkins. Lorn’s farm provides a majority of the food for Northwick village, making his farm one of the more important farms in the region. Lorn requests that you negotiate with the small family living on the far side of his property. He asks this of you because he plans to expand his farm to include livestock. The dangerous part of this mission is the Jackal Rangers, a vigilante group that fights for the poor by committing heinous acts against all other social parties. The guild’s woman recommends that when negotiating with the poor family, provide alternative living accommodations sanctioned by the guild. Failure to complete this mission will result in a loss of 50 gold coins, due to the lost trust with Lorn. Success in completing this mission will result in a 200 gold bonus with an application for upgrading to a higher adventuring tier.",Why does Lorn request help?,he plans to expand his farm to include livestock,625,Custom
"Northwick is a small village in the valley that borders the forbidden region, a desolate land ruled by a forsaken king, King Ivan. The village is protected by high stone walls of a forgotten fortress, reinforced by the villagers. Lorn’s farm is south of Northwick down by the main road, bordering the Giant Woods. Lorn’s farm grows a variety of wheat, corn, and pumpkins. Lorn’s farm provides a majority of the food for Northwick village, making his farm one of the more important farms in the region. Lorn requests that you negotiate with the small family living on the far side of his property. He asks this of you because he plans to expand his farm to include livestock. The dangerous part of this mission is the Jackal Rangers, a vigilante group that fights for the poor by committing heinous acts against all other social parties. The guild’s woman recommends that when negotiating with the poor family, provide alternative living accommodations sanctioned by the guild. Failure to complete this mission will result in a loss of 50 gold coins, due to the lost trust with Lorn. Success in completing this mission will result in a 200 gold bonus with an application for upgrading to a higher adventuring tier.",Why is the mission dangerous?,Jackal Rangers,717,Custom
"Northwick is a small village in the valley that borders the forbidden region, a desolate land ruled by a forsaken king, King Ivan. The village is protected by high stone walls of a forgotten fortress, reinforced by the villagers. Lorn’s farm is south of Northwick down by the main road, bordering the Giant Woods. Lorn’s farm grows a variety of wheat, corn, and pumpkins. Lorn’s farm provides a majority of the food for Northwick village, making his farm one of the more important farms in the region. Lorn requests that you negotiate with the small family living on the far side of his property. He asks this of you because he plans to expand his farm to include livestock. The dangerous part of this mission is the Jackal Rangers, a vigilante group that fights for the poor by committing heinous acts against all other social parties. The guild’s woman recommends that when negotiating with the poor family, provide alternative living accommodations sanctioned by the guild. Failure to complete this mission will result in a loss of 50 gold coins, due to the lost trust with Lorn. Success in completing this mission will result in a 200 gold bonus with an application for upgrading to a higher adventuring tier.",Who are the Jackal Rangers?,a vigilante group that fights for the poor by committing heinous acts against all other social parties,733,Custom
"Northwick is a small village in the valley that borders the forbidden region, a desolate land ruled by a forsaken king, King Ivan. The village is protected by high stone walls of a forgotten fortress, reinforced by the villagers. Lorn’s farm is south of Northwick down by the main road, bordering the Giant Woods. Lorn’s farm grows a variety of wheat, corn, and pumpkins. Lorn’s farm provides a majority of the food for Northwick village, making his farm one of the more important farms in the region. Lorn requests that you negotiate with the small family living on the far side of his property. He asks this of you because he plans to expand his farm to include livestock. The dangerous part of this mission is the Jackal Rangers, a vigilante group that fights for the poor by committing heinous acts against all other social parties. The guild’s woman recommends that when negotiating with the poor family, provide alternative living accommodations sanctioned by the guild. Failure to complete this mission will result in a loss of 50 gold coins, due to the lost trust with Lorn. Success in completing this mission will result in a 200 gold bonus with an application for upgrading to a higher adventuring tier.",Who do the Jackal Rangers fight for?,the poor,767,Custom
"Northwick is a small village in the valley that borders the forbidden region, a desolate land ruled by a forsaken king, King Ivan. The village is protected by high stone walls of a forgotten fortress, reinforced by the villagers. Lorn’s farm is south of Northwick down by the main road, bordering the Giant Woods. Lorn’s farm grows a variety of wheat, corn, and pumpkins. Lorn’s farm provides a majority of the food for Northwick village, making his farm one of the more important farms in the region. Lorn requests that you negotiate with the small family living on the far side of his property. He asks this of you because he plans to expand his farm to include livestock. The dangerous part of this mission is the Jackal Rangers, a vigilante group that fights for the poor by committing heinous acts against all other social parties. The guild’s woman recommends that when negotiating with the poor family, provide alternative living accommodations sanctioned by the guild. Failure to complete this mission will result in a loss of 50 gold coins, due to the lost trust with Lorn. Success in completing this mission will result in a 200 gold bonus with an application for upgrading to a higher adventuring tier.",What kind of acts does the Jackal Rangers commit against other people?,heinous acts,790,Custom
"Northwick is a small village in the valley that borders the forbidden region, a desolate land ruled by a forsaken king, King Ivan. The village is protected by high stone walls of a forgotten fortress, reinforced by the villagers. Lorn’s farm is south of Northwick down by the main road, bordering the Giant Woods. Lorn’s farm grows a variety of wheat, corn, and pumpkins. Lorn’s farm provides a majority of the food for Northwick village, making his farm one of the more important farms in the region. Lorn requests that you negotiate with the small family living on the far side of his property. He asks this of you because he plans to expand his farm to include livestock. The dangerous part of this mission is the Jackal Rangers, a vigilante group that fights for the poor by committing heinous acts against all other social parties. The guild’s woman recommends that when negotiating with the poor family, provide alternative living accommodations sanctioned by the guild. Failure to complete this mission will result in a loss of 50 gold coins, due to the lost trust with Lorn. Success in completing this mission will result in a 200 gold bonus with an application for upgrading to a higher adventuring tier.",What is the recommendation when talking with the poor family?,provide alternative living accommodations sanctioned by the guild,910,Custom
"Northwick is a small village in the valley that borders the forbidden region, a desolate land ruled by a forsaken king, King Ivan. The village is protected by high stone walls of a forgotten fortress, reinforced by the villagers. Lorn’s farm is south of Northwick down by the main road, bordering the Giant Woods. Lorn’s farm grows a variety of wheat, corn, and pumpkins. Lorn’s farm provides a majority of the food for Northwick village, making his farm one of the more important farms in the region. Lorn requests that you negotiate with the small family living on the far side of his property. He asks this of you because he plans to expand his farm to include livestock. The dangerous part of this mission is the Jackal Rangers, a vigilante group that fights for the poor by committing heinous acts against all other social parties. The guild’s woman recommends that when negotiating with the poor family, provide alternative living accommodations sanctioned by the guild. Failure to complete this mission will result in a loss of 50 gold coins, due to the lost trust with Lorn. Success in completing this mission will result in a 200 gold bonus with an application for upgrading to a higher adventuring tier.",What if the mission fails?,"a loss of 50 gold coins, due to the lost trust with Lorn",1025,Custom
"Northwick is a small village in the valley that borders the forbidden region, a desolate land ruled by a forsaken king, King Ivan. The village is protected by high stone walls of a forgotten fortress, reinforced by the villagers. Lorn’s farm is south of Northwick down by the main road, bordering the Giant Woods. Lorn’s farm grows a variety of wheat, corn, and pumpkins. Lorn’s farm provides a majority of the food for Northwick village, making his farm one of the more important farms in the region. Lorn requests that you negotiate with the small family living on the far side of his property. He asks this of you because he plans to expand his farm to include livestock. The dangerous part of this mission is the Jackal Rangers, a vigilante group that fights for the poor by committing heinous acts against all other social parties. The guild’s woman recommends that when negotiating with the poor family, provide alternative living accommodations sanctioned by the guild. Failure to complete this mission will result in a loss of 50 gold coins, due to the lost trust with Lorn. Success in completing this mission will result in a 200 gold bonus with an application for upgrading to a higher adventuring tier.",What if the mission succeeds?,a 200 gold bonus with an application for upgrading to a higher adventuring tier,1133,Custom
"Northwick is a small village in the valley that borders the forbidden region, a desolate land ruled by a forsaken king, King Ivan. The village is protected by high stone walls of a forgotten fortress, reinforced by the villagers. Lorn’s farm is south of Northwick down by the main road, bordering the Giant Woods. Lorn’s farm grows a variety of wheat, corn, and pumpkins. Lorn’s farm provides a majority of the food for Northwick village, making his farm one of the more important farms in the region. Lorn requests that you negotiate with the small family living on the far side of his property. He asks this of you because he plans to expand his farm to include livestock. The dangerous part of this mission is the Jackal Rangers, a vigilante group that fights for the poor by committing heinous acts against all other social parties. The guild’s woman recommends that when negotiating with the poor family, provide alternative living accommodations sanctioned by the guild. Failure to complete this mission will result in a loss of 50 gold coins, due to the lost trust with Lorn. Success in completing this mission will result in a 200 gold bonus with an application for upgrading to a higher adventuring tier.",What is the closest road to Lorn's farm?,main road,276,Custom
"Northwick is a small village in the valley that borders the forbidden region, a desolate land ruled by a forsaken king, King Ivan. The village is protected by high stone walls of a forgotten fortress, reinforced by the villagers. Lorn’s farm is south of Northwick down by the main road, bordering the Giant Woods. Lorn’s farm grows a variety of wheat, corn, and pumpkins. Lorn’s farm provides a majority of the food for Northwick village, making his farm one of the more important farms in the region. Lorn requests that you negotiate with the small family living on the far side of his property. He asks this of you because he plans to expand his farm to include livestock. The dangerous part of this mission is the Jackal Rangers, a vigilante group that fights for the poor by committing heinous acts against all other social parties. The guild’s woman recommends that when negotiating with the poor family, provide alternative living accommodations sanctioned by the guild. Failure to complete this mission will result in a loss of 50 gold coins, due to the lost trust with Lorn. Success in completing this mission will result in a 200 gold bonus with an application for upgrading to a higher adventuring tier.",What is the village protected by?,"high stone walls of a forgotten fortress, reinforced by the villagers",159,Custom
"Northwick is a small village in the valley that borders the forbidden region, a desolate land ruled by a forsaken king, King Ivan. The village is protected by high stone walls of a forgotten fortress, reinforced by the villagers. Lorn’s farm is south of Northwick down by the main road, bordering the Giant Woods. Lorn’s farm grows a variety of wheat, corn, and pumpkins. Lorn’s farm provides a majority of the food for Northwick village, making his farm one of the more important farms in the region. Lorn requests that you negotiate with the small family living on the far side of his property. He asks this of you because he plans to expand his farm to include livestock. The dangerous part of this mission is the Jackal Rangers, a vigilante group that fights for the poor by committing heinous acts against all other social parties. The guild’s woman recommends that when negotiating with the poor family, provide alternative living accommodations sanctioned by the guild. Failure to complete this mission will result in a loss of 50 gold coins, due to the lost trust with Lorn. Success in completing this mission will result in a 200 gold bonus with an application for upgrading to a higher adventuring tier.",Where is the small family in Lorn's farm?,the far side of his property,567,Custom
"Northwick is a small village in the valley that borders the forbidden region, a desolate land ruled by a forsaken king, King Ivan. The village is protected by high stone walls of a forgotten fortress, reinforced by the villagers. Lorn’s farm is south of Northwick down by the main road, bordering the Giant Woods. Lorn’s farm grows a variety of wheat, corn, and pumpkins. Lorn’s farm provides a majority of the food for Northwick village, making his farm one of the more important farms in the region. Lorn requests that you negotiate with the small family living on the far side of his property. He asks this of you because he plans to expand his farm to include livestock. The dangerous part of this mission is the Jackal Rangers, a vigilante group that fights for the poor by committing heinous acts against all other social parties. The guild’s woman recommends that when negotiating with the poor family, provide alternative living accommodations sanctioned by the guild. Failure to complete this mission will result in a loss of 50 gold coins, due to the lost trust with Lorn. Success in completing this mission will result in a 200 gold bonus with an application for upgrading to a higher adventuring tier.",Who will provide alternative living accomodations?,guild,970,Custom
"Northwick is a small village in the valley that borders the forbidden region, a desolate land ruled by a forsaken king, King Ivan. The village is protected by high stone walls of a forgotten fortress, reinforced by the villagers. Lorn’s farm is south of Northwick down by the main road, bordering the Giant Woods. Lorn’s farm grows a variety of wheat, corn, and pumpkins. Lorn’s farm provides a majority of the food for Northwick village, making his farm one of the more important farms in the region. Lorn requests that you negotiate with the small family living on the far side of his property. He asks this of you because he plans to expand his farm to include livestock. The dangerous part of this mission is the Jackal Rangers, a vigilante group that fights for the poor by committing heinous acts against all other social parties. The guild’s woman recommends that when negotiating with the poor family, provide alternative living accommodations sanctioned by the guild. Failure to complete this mission will result in a loss of 50 gold coins, due to the lost trust with Lorn. Success in completing this mission will result in a 200 gold bonus with an application for upgrading to a higher adventuring tier.",Why is there a loss of 50 gold coins if the mission fails?,the lost trust with Lorn,1057,Custom
"Twin’s Peak is a large city located at the peak between two mountains, Hati and Skoll. Twin’s Peak is home to many humans and dwarves, two races that were once in conflict with each other but are now peaceful. At the center of the city is the city hall, a large structure supported by thousands of wooden beams and is suspended at the center between the two peaks. In the town hall, merchants come from River’s Wake in the east, Cragsigil in the north, and Fjorn to the south west. Adventurers go to the Adventurer’s Guild, located east of the city hall. At the Adventurer’s Guild, adventurers can find jobs and change classes. Next to the adventuring guild is the Drunken Dragon, a tavern, where adventurers go at the end of the day to share stories of their grand adventures and secrets of treasure. Every 30 days, Twin’s Peak holds a big party in celebration of the full moon as it passes through the center between the two peaks. This party is called Hati’s Dance, since Hati is the legendary wolf who chases the moon. Singers from River’s Wake come to sing beautiful melodies of Hati, while dancers and performers from Cragsigil come to perform rituals in hope for another good lunar cycle. There are only two entrances into Twin’s Peak, which are to the east and west of the city hall.",How many entrances are there in Twin's Peak?,two entrances,1211,Custom
"Twin’s Peak is a large city located at the peak between two mountains, Hati and Skoll. Twin’s Peak is home to many humans and dwarves, two races that were once in conflict with each other but are now peaceful. At the center of the city is the city hall, a large structure supported by thousands of wooden beams and is suspended at the center between the two peaks. In the town hall, merchants come from River’s Wake in the east, Cragsigil in the north, and Fjorn to the south west. Adventurers go to the Adventurer’s Guild, located east of the city hall. At the Adventurer’s Guild, adventurers can find jobs and change classes. Next to the adventuring guild is the Drunken Dragon, a tavern, where adventurers go at the end of the day to share stories of their grand adventures and secrets of treasure. Every 30 days, Twin’s Peak holds a big party in celebration of the full moon as it passes through the center between the two peaks. This party is called Hati’s Dance, since Hati is the legendary wolf who chases the moon. Singers from River’s Wake come to sing beautiful melodies of Hati, while dancers and performers from Cragsigil come to perform rituals in hope for another good lunar cycle. There are only two entrances into Twin’s Peak, which are to the east and west of the city hall.",Where are the entrances to Twin's Peak?,to the east and west of the city hall,1253,Custom
"Twin’s Peak is a large city located at the peak between two mountains, Hati and Skoll. Twin’s Peak is home to many humans and dwarves, two races that were once in conflict with each other but are now peaceful. At the center of the city is the city hall, a large structure supported by thousands of wooden beams and is suspended at the center between the two peaks. In the town hall, merchants come from River’s Wake in the east, Cragsigil in the north, and Fjorn to the south west. Adventurers go to the Adventurer’s Guild, located east of the city hall. At the Adventurer’s Guild, adventurers can find jobs and change classes. Next to the adventuring guild is the Drunken Dragon, a tavern, where adventurers go at the end of the day to share stories of their grand adventures and secrets of treasure. Every 30 days, Twin’s Peak holds a big party in celebration of the full moon as it passes through the center between the two peaks. This party is called Hati’s Dance, since Hati is the legendary wolf who chases the moon. Singers from River’s Wake come to sing beautiful melodies of Hati, while dancers and performers from Cragsigil come to perform rituals in hope for another good lunar cycle. There are only two entrances into Twin’s Peak, which are to the east and west of the city hall.",Who is Hati?,the legendary wolf who chases the moon,983,Custom
"Twin’s Peak is a large city located at the peak between two mountains, Hati and Skoll. Twin’s Peak is home to many humans and dwarves, two races that were once in conflict with each other but are now peaceful. At the center of the city is the city hall, a large structure supported by thousands of wooden beams and is suspended at the center between the two peaks. In the town hall, merchants come from River’s Wake in the east, Cragsigil in the north, and Fjorn to the south west. Adventurers go to the Adventurer’s Guild, located east of the city hall. At the Adventurer’s Guild, adventurers can find jobs and change classes. Next to the adventuring guild is the Drunken Dragon, a tavern, where adventurers go at the end of the day to share stories of their grand adventures and secrets of treasure. Every 30 days, Twin’s Peak holds a big party in celebration of the full moon as it passes through the center between the two peaks. This party is called Hati’s Dance, since Hati is the legendary wolf who chases the moon. Singers from River’s Wake come to sing beautiful melodies of Hati, while dancers and performers from Cragsigil come to perform rituals in hope for another good lunar cycle. There are only two entrances into Twin’s Peak, which are to the east and west of the city hall.",What does Hati chase?,moon,1017,Custom
"Twin’s Peak is a large city located at the peak between two mountains, Hati and Skoll. Twin’s Peak is home to many humans and dwarves, two races that were once in conflict with each other but are now peaceful. At the center of the city is the city hall, a large structure supported by thousands of wooden beams and is suspended at the center between the two peaks. In the town hall, merchants come from River’s Wake in the east, Cragsigil in the north, and Fjorn to the south west. Adventurers go to the Adventurer’s Guild, located east of the city hall. At the Adventurer’s Guild, adventurers can find jobs and change classes. Next to the adventuring guild is the Drunken Dragon, a tavern, where adventurers go at the end of the day to share stories of their grand adventures and secrets of treasure. Every 30 days, Twin’s Peak holds a big party in celebration of the full moon as it passes through the center between the two peaks. This party is called Hati’s Dance, since Hati is the legendary wolf who chases the moon. Singers from River’s Wake come to sing beautiful melodies of Hati, while dancers and performers from Cragsigil come to perform rituals in hope for another good lunar cycle. There are only two entrances into Twin’s Peak, which are to the east and west of the city hall.",Where do adventurer's go?,the Adventurer’s Guild,500,Custom
"Twin’s Peak is a large city located at the peak between two mountains, Hati and Skoll. Twin’s Peak is home to many humans and dwarves, two races that were once in conflict with each other but are now peaceful. At the center of the city is the city hall, a large structure supported by thousands of wooden beams and is suspended at the center between the two peaks. In the town hall, merchants come from River’s Wake in the east, Cragsigil in the north, and Fjorn to the south west. Adventurers go to the Adventurer’s Guild, located east of the city hall. At the Adventurer’s Guild, adventurers can find jobs and change classes. Next to the adventuring guild is the Drunken Dragon, a tavern, where adventurers go at the end of the day to share stories of their grand adventures and secrets of treasure. Every 30 days, Twin’s Peak holds a big party in celebration of the full moon as it passes through the center between the two peaks. This party is called Hati’s Dance, since Hati is the legendary wolf who chases the moon. Singers from River’s Wake come to sing beautiful melodies of Hati, while dancers and performers from Cragsigil come to perform rituals in hope for another good lunar cycle. There are only two entrances into Twin’s Peak, which are to the east and west of the city hall.",Where is the Adventurer's Guild located?,east of the city hall,532,Custom
